bgg_id,name,year,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,cooperative,compilation,compilation_of,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id,game_type,designer,artist,mechanic,category,family,publisher,avg_time
224996,Quick Eye,2011.0,2.0,10.0,2.0,10.0,2.0,10.0,5.0,,15.0,20.0,,,,,,,13.0,5.96923,2.17764,,1.0,,,,,,,,,,,Open Drafting,,,,17.5
224997,Matryoshka,2017.0,2.0,6.0,2.0,6.0,2.0,6.0,5.0,,15.0,15.0,,,,,,,15.0,6.25333,1.52703,,2.0,,,,,,,,,Maria Aleksandrova,Masha Sergeeva,,,,,15.0
224999,Witching Hour,2017.0,2.0,5.0,2.0,5.0,2.0,5.0,14.0,,30.0,45.0,,,,,,16906.0,83.0,5.92125,1.25448,5.51563,1.0,,,,,,,,,Bruce Baskir,,,Card Game,Theme: Witches,Indie Boards & Cards,37.5
225000,Pirate 21,2017.0,2.0,6.0,2.0,6.0,2.0,6.0,14.0,,15.0,15.0,,,,,,9890.0,238.0,6.25224,1.52199,5.56508,1.2857,,,,,,,,,,,,,,,15.0
225030,Duplicitous,2017.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,,5.0,5.0,,,,,,,1.0,5.0,,,,,,,,,,,,Craig E. Somerton,,,,,(Web published),
225032,"Albuera, 16 May 1811",2017.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,,60.0,90.0,,,,,,,3.0,6.83333,0.235702,,2.5,,,,,,,,,John Theissen,Stephen Oliver,Hexagon Grid,Napoleonic,,Paul Koenig Games,75.0
225036,Civitas,2016.0,2.0,12.0,2.0,12.0,2.0,12.0,10.0,,30.0,30.0,,,,,,,5.0,6.8,1.93907,,2.5,,,,,,,,,Tyler Hogan,,Hand Management,Educational,,Bright Ideas,30.0
225037,Colortopia,2017.0,2.0,5.0,2.0,5.0,2.0,5.0,6.0,,20.0,20.0,,,,,,,7.0,7.14286,0.989743,,,,,,,,,,,Chen Po-Chiao,Chen Po-Chiao,,,,桌遊鬍子 POKI Design,
225040,HexCON,2017.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,,20.0,60.0,,,,,,,,,,,,,,,,,,,,Kolja Geldmacher,Kolja Geldmacher,,Abstract Strategy,,(Self-Published),
225041,Save the Penguin,2006.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,,,,,,,,,,10.0,6.1,1.42829,,,,,,,,,,,,,,,,Tesco,
225043,Stop the Road!,1953.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,,15.0,30.0,,,,,,,,,,,,,,,,,,,,Sheila Hodgetts,Edward Jeffrey,Dice Rolling,,Animals: Pigs,Sampson Low,
225044,Meister Petz und die Bienlein,1900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Area Movement,Children's Game,,(Unknown),
225045,Heimatkunde,1930.0,,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,,,,Open Drafting,Children's Game,Cities: Hamburg (Germany),,
